Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
43,240,45.3702,M,2,0,N/A,STIPostImmigrating,0,56,23,0,1,MARITAL,MIGRATING,338,2,0
43,338,37.8703,F,2,0,N/A,STIPostImmigrating,0,56,23,0,1,MARITAL,NORMAL,240,2,2
44,63,45.2159,M,1,2,local,STIPreEmigrating,0,41,20,0,1,MARITAL,MIGRATING,281,1,1
44,45,16.8612,F,1,2,local,STIPreEmigrating,0,17,12,0,1,MARITAL,MIGRATING,121,1,1
44,121,18.5359,M,1,2,local,STIPreEmigrating,0,17,12,0,1,MARITAL,MIGRATING,45,1,0
44,281,42.616,F,1,2,local,STIPreEmigrating,0,41,20,0,1,MARITAL,MIGRATING,63,0,1
44,331,28.8698,M,1,0,N/A,STIPostImmigrating,0,72,11,0,1,MARITAL,MIGRATING,194,1,0
44,194,24.9025,F,1,0,N/A,STIPostImmigrating,0,72,11,0,1,MARITAL,NORMAL,331,1,1
44,331,28.8698,M,2,1,local,STIPreEmigrating,0,72,11,0,1,MARITAL,MIGRATING,194,2,2
44,194,24.9025,F,2,1,local,STIPreEmigrating,0,72,11,0,1,MARITAL,MIGRATING,331,0,2
44,63,45.2159,M,2,0,N/A,STIPostImmigrating,0,41,20,0,1,MARITAL,MIGRATING,281,2,0
44,45,16.8612,F,2,0,N/A,STIPostImmigrating,0,17,12,0,1,MARITAL,MIGRATING,121,0,2
44,121,18.5359,M,2,0,N/A,STIPostImmigrating,0,17,12,0,1,MARITAL,NORMAL,45,2,2
44,281,42.616,F,2,0,N/A,STIPostImmigrating,0,41,20,0,1,MARITAL,NORMAL,63,2,2
45,12,48.8315,F,1,0,N/A,STIPostImmigrating,0,16,14,0,1,MARITAL,MIGRATING,48,0,1
45,48,49.8208,M,1,0,N/A,STIPostImmigrating,0,16,14,0,1,MARITAL,NORMAL,12,1,1
45,201,24.3459,M,1,0,N/A,STIPostImmigrating,0,43,17,0,1,MARITAL,MIGRATING,25,1,0
45,25,20.8513,F,1,0,N/A,STIPostImmigrating,0,43,17,0,1,MARITAL,NORMAL,201,1,1
45,12,48.8315,F,2,1,local,STIPreEmigrating,0,16,14,0,1,MARITAL,MIGRATING,48,2,2
45,48,49.8208,M,2,1,local,STIPreEmigrating,0,16,14,0,1,MARITAL,MIGRATING,12,2,0
45,201,24.3459,M,2,1,local,STIPreEmigrating,0,43,17,0,1,MARITAL,MIGRATING,25,2,2
45,25,20.8513,F,2,1,local,STIPreEmigrating,0,43,17,0,1,MARITAL,MIGRATING,201,0,2
46,86,31.1815,F,1,2,local,STIPreEmigrating,0,2,13,0,1,MARITAL,MIGRATING,16,1,1
46,16,33.728,M,1,2,local,STIPreEmigrating,0,2,13,0,1,MARITAL,MIGRATING,86,1,0
46,242,22.8163,M,1,0,N/A,STIPostImmigrating,0,64,13,0,1,MARITAL,MIGRATING,294,1,0
46,294,26.7239,F,1,0,N/A,STIPostImmigrating,0,64,13,0,1,MARITAL,NORMAL,242,1,1
46,242,22.8163,M,2,1,local,STIPreEmigrating,0,64,13,0,1,MARITAL,MIGRATING,294,2,2
46,294,26.7239,F,2,1,local,STIPreEmigrating,0,64,13,0,1,MARITAL,MIGRATING,242,0,2
46,86,31.1815,F,2,0,N/A,STIPostImmigrating,0,2,13,0,1,MARITAL,MIGRATING,16,0,2
46,16,33.728,M,2,0,N/A,STIPostImmigrating,0,2,13,0,1,MARITAL,NORMAL,86,2,2
48,77,45.5932,M,1,2,local,STIPreEmigrating,0,49,24,0,1,MARITAL,MIGRATING,187,1,1
48,187,49.7271,F,1,2,local,STIPreEmigrating,0,49,24,0,1,MARITAL,MIGRATING,77,0,1
48,315,26.4684,M,1,0,N/A,STIPostImmigrating,0,78,3,0,1,MARITAL,MIGRATING,308,1,0
48,308,15.1195,F,1,0,N/A,STIPostImmigrating,0,78,3,0,1,MARITAL,NORMAL,315,1,1
48,315,26.4684,M,2,1,local,STIPreEmigrating,0,78,3,0,1,MARITAL,MIGRATING,308,2,2
48,308,15.1195,F,2,1,local,STIPreEmigrating,0,78,3,0,1,MARITAL,MIGRATING,315,0,2
48,77,45.5932,M,2,0,N/A,STIPostImmigrating,0,49,24,0,1,MARITAL,MIGRATING,187,2,0
48,187,49.7271,F,2,0,N/A,STIPostImmigrating,0,49,24,0,1,MARITAL,NORMAL,77,2,2
49,39,37.8819,F,1,0,N/A,STIPostImmigrating,0,19,17,0,1,MARITAL,MIGRATING,131,0,1
49,131,50.5621,M,1,0,N/A,STIPostImmigrating,0,19,17,0,1,MARITAL,NORMAL,39,1,1
49,39,37.8819,F,2,1,local,STIPreEmigrating,0,19,17,0,1,MARITAL,MIGRATING,131,2,2
49,131,50.5621,M,2,1,local,STIPreEmigrating,0,19,17,0,1,MARITAL,MIGRATING,39,2,0
50,185,25.7039,M,1,0,N/A,STIPostImmigrating,0,61,7,0,1,MARITAL,MIGRATING,135,1,0
50,135,20.1147,F,1,0,N/A,STIPostImmigrating,0,61,7,0,1,MARITAL,NORMAL,185,1,1
50,185,25.7039,M,2,1,local,STIPreEmigrating,0,61,7,0,1,MARITAL,MIGRATING,135,2,2
50,135,20.1147,F,2,1,local,STIPreEmigrating,0,61,7,0,1,MARITAL,MIGRATING,185,0,2
52,303,35.0878,F,1,2,local,STIPreEmigrating,0,35,16,0,1,MARITAL,MIGRATING,321,1,1
52,321,41.8012,M,1,2,local,STIPreEmigrating,0,35,16,0,1,MARITAL,MIGRATING,303,1,0
52,219,51.8754,M,1,0,N/A,STIPostImmigrating,0,29,26,0,1,MARITAL,MIGRATING,143,1,0
52,143,38.3846,F,1,0,N/A,STIPostImmigrating,0,29,26,0,1,MARITAL,NORMAL,219,1,1
52,219,51.8754,M,2,1,local,STIPreEmigrating,0,29,26,0,1,MARITAL,MIGRATING,143,2,2
52,143,38.3846,F,2,1,local,STIPreEmigrating,0,29,26,0,1,MARITAL,MIGRATING,219,0,2
52,303,35.0878,F,2,0,N/A,STIPostImmigrating,0,35,16,0,1,MARITAL,MIGRATING,321,0,2
52,321,41.8012,M,2,0,N/A,STIPostImmigrating,0,35,16,0,1,MARITAL,NORMAL,303,2,2
53,87,31.6003,F,1,2,local,STIPreEmigrating,0,77,9,0,1,MARITAL,MIGRATING,144,1,1
53,144,37.9588,M,1,2,local,STIPreEmigrating,0,77,9,0,1,MARITAL,MIGRATING,87,1,0
